customer_name,customer_email,amount_inr,transaction_type,error_code,attempt_number,contact_count_48h,mandate_window_end,timestamp
Karan Oberoi,karan@oberoiholdings.in,5376.45,overdue_invoice,bank_timeout,2,0,,2026-08-26 18:50:35
Meera Krishnan,meera.k@chennaitech.com,7611.7,subscription_renewal,mandate_declined,1,0,2026-08-29T13:50:35.847596,2026-08-25 20:50:35
Devendra Choudhury,dev.choudhury@gmail.com,64500.0,overdue_invoice,invoice_overdue,1,0,,2026-08-26 17:50:35
Rohan Mehta,rohan.mehta@yahoo.in,10160.04,overdue_invoice,bank_timeout,1,0,,2026-08-27 10:50:35
Tanvi Saxena,tanvi.s@cloudscale.io,6075.51,subscription_renewal,card_expired,1,2,2026-08-31T13:50:35.847596,2026-08-25 16:50:35
Shreya Bhatt,shreya.b@ahmedabadlogistics.com,15668.19,subscription_renewal,insufficient_funds,4,1,2026-08-30T13:50:35.847596,2026-08-23 13:50:35
Deepika Sen,deepika.sen@kolkatatech.org,14072.58,subscription_renewal,card_expired,4,1,2026-08-30T13:50:35.847596,2026-08-24 13:50:35
Ishita Agarwal,ishita.a@workmail.com,58400.0,overdue_invoice,invoice_overdue,1,0,,2026-08-26 23:50:35
Deepika Sen,deepika.sen@kolkatatech.org,9213.31,overdue_invoice,insufficient_funds,1,0,,2026-08-26 20:50:35
Shreya Bhatt,shreya.b@ahmedabadlogistics.com,13033.21,subscription_renewal,insufficient_funds,3,1,2026-08-29T13:50:35.847596,2026-08-25 05:50:35
Aarav Sharma,aarav.sharma@gmail.com,4614.55,checkout_abandoned,bank_timeout,1,0,,2026-08-26 17:50:35
Varun Malhotra,varun.m@delhiventures.in,9951.67,checkout_abandoned,bank_timeout,2,0,,2026-08-27 09:50:35
Aditya Joshi,aditya.j@bytemail.com,1931.65,subscription_renewal,card_expired,2,1,2026-09-01T13:50:35.847596,2026-08-26 21:50:35
Harsh Vardhan,harsh.v@jaipurcrafts.in,1213.23,checkout_abandoned,bank_timeout,1,0,,2026-08-27 09:50:35
Deepika Sen,deepika.sen@kolkatatech.org,8261.06,subscription_renewal,insufficient_funds,1,1,2026-08-27T02:50:35.847596,2026-08-26 19:50:35
Manish Tiwari,manish.tiwari@puneauto.co,10049.41,subscription_renewal,bank_timeout,2,1,2026-09-01T13:50:35.847596,2026-08-26 15:50:35
Sneha Reddy,sneha.reddy@techfirm.io,19466.48,overdue_invoice,insufficient_funds,1,0,,2026-08-26 17:50:35
Rahul Verma,rahul.v@gmail.com,8118.9,subscription_renewal,bank_timeout,1,1,2026-08-31T13:50:35.847596,2026-08-27 03:50:35
Pooja Hegde,pooja.h@blr-retail.co,10509.33,subscription_renewal,mandate_declined,1,1,2026-08-30T13:50:35.847596,2026-08-27 03:50:35
Tanvi Saxena,tanvi.s@cloudscale.io,9601.1,subscription_renewal,card_expired,4,1,2026-08-30T13:50:35.847596,2026-08-23 13:50:35
Diya Deshmukh,diya.d@gmail.com,9778.28,subscription_renewal,insufficient_funds,1,1,2026-09-01T13:50:35.847596,2026-08-27 07:50:35
Harsh Vardhan,harsh.v@jaipurcrafts.in,10212.9,subscription_renewal,insufficient_funds,2,0,2026-08-27T12:50:35.847596,2026-08-26 16:50:35
Shreya Bhatt,shreya.b@ahmedabadlogistics.com,5805.04,subscription_renewal,insufficient_funds,1,1,2026-09-01T13:50:35.847596,2026-08-27 00:50:35
Rohan Mehta,rohan.mehta@yahoo.in,5491.75,subscription_renewal,insufficient_funds,1,1,2026-09-04T13:50:35.847596,2026-08-26 16:50:35
Varun Malhotra,varun.m@delhiventures.in,85000.0,overdue_invoice,invoice_overdue,1,0,,2026-08-25 09:50:35
Siddharth Kapoor,sid.kapoor@gmail.com,14917.17,checkout_abandoned,bank_timeout,1,0,,2026-08-26 14:50:35
Aarav Sharma,aarav.sharma@gmail.com,10707.13,subscription_renewal,bank_timeout,2,1,2026-08-31T13:50:35.847596,2026-08-27 01:50:35
Priya Patel,priya.p@outlook.com,14522.65,checkout_abandoned,bank_timeout,5,0,,2026-08-23 13:50:35
Arjun Gupta,arjun.gupta@fintech.in,15102.42,subscription_renewal,mandate_declined,2,0,2026-08-31T13:50:35.847596,2026-08-25 13:50:35
Rohan Mehta,rohan.mehta@yahoo.in,13401.72,subscription_renewal,card_expired,4,1,2026-08-30T13:50:35.847596,2026-08-22 13:50:35
Nikhil Bansal,nikhil.bansal@mumbaicorp.in,10692.34,checkout_abandoned,bank_timeout,5,0,,2026-08-23 13:50:35
Priya Patel,priya.p@outlook.com,12151.89,overdue_invoice,bank_timeout,1,0,,2026-08-26 20:50:35
Diya Deshmukh,diya.d@gmail.com,12081.88,subscription_renewal,card_expired,1,0,2026-09-01T13:50:35.847596,2026-08-27 02:50:35
Tanvi Saxena,tanvi.s@cloudscale.io,10620.93,checkout_abandoned,checkout_dropoff,1,0,,2026-08-27 06:50:35
Varun Malhotra,varun.m@delhiventures.in,4131.06,subscription_renewal,mandate_declined,2,0,2026-09-01T13:50:35.847596,2026-08-25 22:50:35
Karan Oberoi,karan@oberoiholdings.in,6803.95,checkout_abandoned,checkout_dropoff,2,1,,2026-08-25 15:50:35
Arjun Gupta,arjun.gupta@fintech.in,3745.74,subscription_renewal,bank_timeout,2,1,2026-08-30T13:50:35.847596,2026-08-26 21:50:35
Vikram Singh,vikram.singh@corporate.in,1663.86,subscription_renewal,insufficient_funds,4,1,2026-08-30T13:50:35.847596,2026-08-25 13:50:35
Priya Patel,priya.p@outlook.com,1509.7,checkout_abandoned,bank_timeout,1,0,,2026-08-26 19:50:35
Ishita Agarwal,ishita.a@workmail.com,10443.67,subscription_renewal,mandate_declined,1,0,2026-08-31T13:50:35.847596,2026-08-26 05:50:35
Kavya Nambiar,kavya.nambiar@startup.co,2910.97,subscription_renewal,card_expired,1,0,2026-08-31T13:50:35.847596,2026-08-26 02:50:35
Rahul Verma,rahul.v@gmail.com,3112.39,subscription_renewal,card_expired,4,1,2026-08-30T13:50:35.847596,2026-08-24 13:50:35
Aarav Sharma,aarav.sharma@gmail.com,4672.53,subscription_renewal,insufficient_funds,4,1,2026-08-30T13:50:35.847596,2026-08-25 13:50:35
Manish Tiwari,manish.tiwari@puneauto.co,14847.76,checkout_abandoned,mandate_declined,5,0,,2026-08-22 13:50:35
Sneha Reddy,sneha.reddy@techfirm.io,12726.22,checkout_abandoned,bank_timeout,5,0,,2026-08-25 13:50:35
Vikram Singh,vikram.singh@corporate.in,12163.09,checkout_abandoned,bank_timeout,2,0,,2026-08-26 17:50:35
Pooja Hegde,pooja.h@blr-retail.co,14872.03,subscription_renewal,card_expired,1,2,2026-08-31T13:50:35.847596,2026-08-26 14:50:35
Riya Nair,riya.nair@hotmail.com,15561.94,overdue_invoice,insufficient_funds,1,0,,2026-08-26 18:50:35
Ishita Agarwal,ishita.a@workmail.com,2493.26,checkout_abandoned,bank_timeout,1,0,,2026-08-26 14:50:35
Pooja Hegde,pooja.h@blr-retail.co,12355.42,overdue_invoice,insufficient_funds,1,0,,2026-08-26 18:50:35
Ananya Iyer,ananya.iyer@gmail.com,14798.2,checkout_abandoned,bank_timeout,2,0,,2026-08-27 10:50:35
Rahul Verma,rahul.v@gmail.com,9476.11,subscription_renewal,card_expired,2,0,2026-09-03T13:50:35.847596,2026-08-26 18:50:35
Siddharth Kapoor,sid.kapoor@gmail.com,6055.77,subscription_renewal,card_expired,2,0,2026-09-04T13:50:35.847596,2026-08-27 03:50:35
Ananya Iyer,ananya.iyer@gmail.com,2558.51,subscription_renewal,insufficient_funds,1,1,2026-09-04T13:50:35.847596,2026-08-26 14:50:35
Devendra Choudhury,dev.choudhury@gmail.com,18677.37,overdue_invoice,bank_timeout,1,0,,2026-08-26 14:50:35
